concept,observations,companies,kind,units,context_kind,pct_numeric_null,example_values
ShareCapitalFree-textComment,3,3,non_numeric,,duration,100.00,"[""During the year 2,100 Ordinary BR Shares were issued at £1 per share.During the year 2 Ordinary Shares were re-classifi…"",""The ordinary shares rank pari passu in all respects on a one for one basis not withstanding the different amounts paid …"",""On 15 May 2021, upon incorporation, the company issued 500 Ordinary £1 shares at par.""]"
SubsidiaryUnconsolidatedTruefalse,3,2,non_numeric,,duration,100.00,"[""false"",""true""]"
TransferToNon-currentAssetsOrDisposalGroupsHeldForSaleDecreaseInAmortisationImpairmentIntangibleAssets,3,1,numeric,GBP,duration,0.00,"[""45,438"",""0""]"
TransfersToFromNon-currentAssetsOrDisposalGroupsHeldForSaleIntangibleAssets,3,1,numeric,GBP,duration,0.00,"[""249,150"",""0""]"
VotingPowerInSubsidiaryIfDifferentFromOwnershipInterestPercent,3,2,numeric,pure,duration,0.00,"[""0""]"
AdditionalProvisionsIncreaseFromNewProvisionsRecognisedInProfitOrLoss,2,2,numeric,GBP,duration,0.00,"[""6"",""462""]"
AdditionsOtherThanThroughBusinessCombinationsIntangibleAssets,2,1,numeric,GBP,duration,0.00,"[""300,000""]"
AmortisationExpenseIntangibleAssets,2,1,numeric,GBP,duration,0.00,"[""1,125""]"
AmountsOwedByAssociatesJointVenturesParticipatingInterests,2,1,numeric,GBP,instant,0.00,"[""64,000""]"
AmountsOwedByJointVentures,2,1,numeric,GBP,instant,0.00,"[""1,492,665"",""1,305,061""]"
AmountsOwedByOtherRelatedPartiesOtherThanDirectors,2,1,numeric,GBP,instant,0.00,"[""96,575"",""86,914""]"
AmountsOwedBySubsidiaries,2,1,numeric,GBP,instant,0.00,"[""292"",""2,487""]"
AmountsOwedToAssociates,2,2,numeric,GBP,instant,0.00,"[""204"",""24,402""]"
AmountsRecoverableOnContracts,2,1,numeric,GBP,instant,0.00,"[""452,629"",""209,677""]"
BankingArrangementsClassifiedAsCashCashEquivalents,2,1,numeric,GBP,instant,0.00,"[""0"",""293,199""]"
BillsExchangePayable,2,1,numeric,GBP,instant,0.00,"[""26"",""16""]"
CalledUpShareCapital,2,1,numeric,GBP,instant,0.00,"[""0.00""]"
CapitalEmployed,2,1,numeric,GBP,instant,0.00,"[""0.00""]"
CashBankInHand,2,1,numeric,GBP,instant,0.00,"[""0.00""]"
CumulativePreferenceShareDividendsUnpaid,2,1,numeric,GBP,instant,50.00,"[""-"",""1,000""]"
DecreaseInLoansOwedToRelatedPartiesDueToLoansRepaid,2,1,numeric,GBP,duration,0.00,"[""969""]"
DeferredTaxExpenseCreditFromUnrecognisedTimingDifferenceFromPriorPeriod,2,1,numeric,GBP,duration,0.00,"[""2,029"",""3,897""]"
DescriptionContributionPlan,2,2,non_numeric,,duration,100.00,"[""The company operates a defined contributions pension scheme. The assets of the scheme are held separately from those of…"",""The company operates a defined contribution pension scheme for the directors and all employees. The assets of the schem…""]"
DescriptionExtentToWhichFairValueInvestmentPropertyBasedOnValuationByIndependentValuer,2,2,non_numeric,,duration,100.00,"[""There has been no valuation of investment property's by an independent valuer. The Directors' have considered the marke…"",""There has been no valuation of investment property by an independent valuer.""]"
DescriptionNatureBusinessAssociate,2,1,non_numeric,,duration,100.00,"[""Consultancy work in the agricultural sector"",""Providing investment opportunities""]"
DividendPerShareFinal,2,1,numeric,pure,duration,0.00,"[""624"",""265""]"
DividendsPaidClassifiedAsFinancingActivities,2,1,numeric,GBP,duration,0.00,"[""116,184"",""101,000""]"
EmphasisMatterStatement,2,2,non_numeric,,duration,100.00,"[""We have nothing to report in respect of the following matters in relation to which the ISAs (UK) require us to report t…"",""Although our report is not qualified in these respects we draw the attention of the readers of the financial statements…""]"
FactoredDebtsOutstanding,2,1,numeric,GBP,instant,50.00,"[""-"",""168,497""]"
FinancialCommitmentsOtherThanCapitalCommitments,2,1,numeric,GBP,instant,0.00,"[""4,234"",""5,927""]"
FutureFinanceChargesOnFinanceLeases,2,1,numeric,GBP,instant,0.00,"[""4,317"",""764""]"
GainLossDueToForeignExchangeDifferencesRecognisedInProfitOrLoss,2,1,numeric,GBP,duration,0.00,"[""35"",""0""]"
GainLossInCashFlowsFromChangeInAccruedItems,2,1,numeric,GBP,duration,0.00,"[""44,432"",""418,695""]"
GainLossOnRevaluationPropertyPlantEquipmentNetTaxInOtherComprehensiveIncome,2,2,numeric,GBP,duration,0.00,"[""1,499,898"",""712,193""]"
GeneralDescriptionContingentLiabilitiesIncludingFinancialEffectUncertaintiesPossibleReimbursement,2,2,non_numeric,,duration,100.00,"[""The company has provisions for liabilities in respect of installation guarantees amounting to £15,331 (2020: £15,331)."",""BOTH YEAR FIGURES ARE PROVISIONAL""]"
GovernmentGrantsPayable,2,1,numeric,GBP,instant,0.00,"[""20,000""]"
IncreaseDecreaseInCashCashEquivalentsBeforeForeignExchangeDifferencesChangesInConsolidation,2,1,numeric,GBP,duration,0.00,"[""185,429"",""279,202""]"
IncreaseDecreaseInExistingProvisions,2,1,numeric,GBP,duration,0.00,"[""699""]"
InterestExpenseOnLoanCapital,2,1,numeric,GBP,duration,0.00,"[""248,939"",""258,877""]"
InterestPaidClassifiedAsOperatingActivities,2,1,numeric,GBP,duration,0.00,"[""2,208,955"",""2,133,758""]"
InterestReceivedClassifiedAsInvestingActivities,2,1,numeric,GBP,duration,0.00,"[""3,510"",""5,278""]"
InterimDividendsPaid,2,1,numeric,GBP,duration,50.00,"[""10,000"",""-""]"
InvestmentsInSubsidiariesMeasuredFairValue,2,1,numeric,GBP,instant,0.00,"[""1""]"
LiabilitiesSecuredByAssets,2,1,numeric,GBP,instant,0.00,"[""654,374"",""560,795""]"
LoansFromGroupUndertakingsParticipatingInterests,2,1,numeric,GBP,instant,0.00,"[""0"",""282,500""]"
LoansToGroupUndertakingsParticipatingInterests,2,1,numeric,GBP,instant,0.00,"[""0"",""75""]"
MinimumLeasePaymentsReceivableUnderNon-cancellableOperatingLeases,2,1,numeric,GBP,instant,0.00,"[""7,210,995"",""7,526,805""]"
MinimumOperatingLeasePaymentsRecognisedAsExpense,2,1,numeric,GBP,duration,0.00,"[""173,772"",""123,378""]"
NameUltimateParentGroupIfNotParentEntity,2,2,non_numeric,,duration,100.00,"[""The ultimate parent company of Gastromax Limited is Orthex Oyj, a company incorporated in Finland."",""Kellaway Building Supplies Limited""]"
NetAssetsLiabilitiesIncludingPensionAssetLiability,2,1,numeric,GBP,instant,0.00,"[""0.00""]"
NetAssetsLiabilitiesSubsidiaries,2,1,numeric,GBP,instant,0.00,"[""818,813"",""384,614""]"
NetCashFlowsFromUsedInFinancingActivities,2,1,numeric,GBP,duration,0.00,"[""50,000"",""771,389""]"
NetCashFlowsFromUsedInInvestingActivities,2,1,numeric,GBP,duration,0.00,"[""52,722"",""312,793""]"
NetDebtFunds,2,1,numeric,GBP,instant,0.00,"[""589,092"",""824,521""]"
NetFinanceIncomeCosts,2,1,numeric,GBP,duration,0.00,"[""3,510"",""5,278""]"
NumberDirectorsAccruingBenefitsUnderMoneyPurchaseScheme,2,1,numeric,pure,duration,0.00,"[""8""]"
NumberSharesAuthorised,2,2,numeric,shares,instant,0.00,"[""100"",""10""]"
OtherCurrentAssetInvestmentsBalanceSheetSubtotal,2,1,numeric,GBP,instant,0.00,"[""100,000""]"
OtherFinanceCosts,2,1,numeric,GBP,duration,0.00,"[""2,177,804"",""2,096,647""]"
OtherProvisionsBalanceSheetSubtotal,2,1,numeric,GBP,instant,0.00,"[""2,476"",""3,010""]"
PaymentsToRelatedParties,2,1,numeric,GBP,duration,0.00,"[""2,000""]"
PaymentsToThirdPartiesForDirectorServices,2,1,numeric,GBP,duration,0.00,"[""66,032"",""64,914""]"
ProceedsFromBorrowingsClassifiedAsFinancingActivities,2,2,numeric,GBP,duration,0.00,"[""27,561,510"",""50,000""]"
ProceedsFromSalesPropertyPlantEquipment,2,1,numeric,GBP,duration,0.00,"[""0"",""343,554""]"
ProfitLossFromContinuingOperationsAssociates,2,1,numeric,GBP,duration,0.00,"[""6,502"",""7,914""]"
RepaymentsBorrowingsClassifiedAsFinancingActivities,2,1,numeric,GBP,duration,0.00,"[""19,204,702"",""27,522,328""]"
RevenueFromRenderingServices,2,1,numeric,GBP,duration,0.00,"[""538,968"",""7,202,335""]"
StatementOnScopeAuditReport,2,2,non_numeric,,duration,100.00,"[""Report to the directors on the preparation of the unaudited statutory accounts of the company for theperiod ended 31 Ma…"",""Our objectives are to obtain reasonable assurance about whether the financial statements as a whole are free from mater…""]"
StatementThatNoControllingPartiesExist,2,2,non_numeric,,duration,100.00,"[""The directors do not consider there to be an ultimate controlling party."",""There is no ultimate controlling party.""]"
TaxDecreaseFromUtilisationTaxLosses,2,1,numeric,GBP,duration,0.00,"[""19,426"",""0""]"
UnpaidContributionsToPensionSchemes,2,1,numeric,GBP,instant,0.00,"[""9,253"",""14,245""]"
UsefulLifePropertyPlantEquipmentYears,2,1,numeric,GBP,duration,0.00,"[""4"",""3""]"
AccountsAreInAccordanceWithSpecialProvisionsCompaniesActRelatingToSmallCompanies,1,1,non_numeric,,duration,100.00,"[""These accounts have been prepared in accordance with the provisions in section 15 of the Companies Act, applicable to c…""]"
BalanceSheetStatementFinancialPositionFree-textComment,1,1,non_numeric,,duration,100.00,"[""In accordance with Section 444 of the Companies Act 2006, the Income Statement has not been delivered.""]"
BusinessCombinationsPolicy,1,1,non_numeric,,duration,100.00,"[""Business combinations are accounted for using the purchase method. The consideration for each acquisition is measured a…""]"
BusinessReportName,1,1,non_numeric,,duration,100.00,"[""Dormant Accounts""]"
CharityRegistrationNumberEnglandWales,1,1,non_numeric,,duration,100.00,"[""1163229""]"
CharityRegistrationNumberScotland,1,1,non_numeric,,duration,100.00,"[""SC034791""]"
CompanyEntitledToExemptionUnderSection480CompaniesAct2006RelatingToDormantCompanies,1,1,non_numeric,,duration,100.00,"[""For the period ending 30 November 2021 the company was entitled to exemption under section 480 of the Companies Act 200…""]"
CompensationForLossOfficeDirectors,1,1,numeric,GBP,duration,0.00,"[""25,556""]"
ConsiderationReceivedForSharesIssuedInPeriod,1,1,numeric,GBP,duration,0.00,"[""1""]"
ConstructionWorkInProgressPolicy,1,1,non_numeric,,duration,100.00,"[""Where the outcome of a construction contract can be estimated reliably, revenue and costs are recognised by reference t…""]"
DateApprovalAccounts,1,1,non_numeric,,instant,100.00,"[""11 February 2022""]"
DateFormationOrIncorporation,1,1,non_numeric,,instant,100.00,"[""6 October 2020""]"
DebenturesInIssue,1,1,numeric,GBP,instant,0.00,"[""45,194""]"
DeferredTaxExpenseCreditRelatingToChangesInTaxRatesOrLaws,1,1,numeric,GBP,duration,0.00,"[""20,525""]"
DefinedBenefitPensionsPolicy,1,1,non_numeric,,duration,100.00,"[""The company operates a defined contribution plan for its employees. A defined contribution plan is a pension plan under…""]"
DescriptionFinancialLiabilitiesDesignatedFairValueThroughProfitOrLossSubjectToChangeInFairValueDueToChangesInCreditRisk,1,1,non_numeric,,duration,100.00,"[""Financial instruments such as Trade Debtors, Cash and Trade Creditors arise from the company's operations.""]"
DescriptionLesseesMaterialFinanceLeasingArrangements,1,1,non_numeric,,duration,100.00,"[""""]"
DescriptionMaterialOperatingLeasingArrangements,1,1,non_numeric,,duration,100.00,"[""Total commitments under operating leases as at the year end are £19,734 ( 2020 £24,882 )""]"
DescriptionMethodsAssumptionsUnderlyingFairValuesEstimatePropertyPlantEquipment,1,1,non_numeric,,duration,100.00,"[""The investment properties were valued by the directors at the balance sheet date and the valuation was not considered t…""]"
DescriptionOrOtherInformationOnEntityContact,1,1,non_numeric,,duration,100.00,"[""The company is a private company limited by shares and registered in England and Wales. The company's registered number…""]"
DescriptionOrTitleAuthor,1,1,non_numeric,,duration,100.00,"[""""]"
DescriptionPuttableFinancialInstrumentsClassifiedAsEquityInstrumentsIncludingReclassificationsIntoOutFinancialLiabilities,1,1,non_numeric,,duration,100.00,"[""Equity instruments issued by the company are recorded at the proceeds received, net of transaction costs. Dividends pay…""]"
DescriptionReasonWhyEntityHasNotPreparedConsolidatedFinancialStatements,1,1,non_numeric,,duration,100.00,"[""The company has taken advantage of the option not to prepare consolidated abridged financial statements contained in Se…""]"
DescriptionRelatedEntityWhichHasPreparedConsolidatedFinancialStatementsTheirAvailability,1,1,non_numeric,,duration,100.00,"[""The entity satisfies the criteria of being a qualifying entity as defined in FRS 102 and as such, advantage has been ta…""]"
DescriptionRelationshipsBetweenEntityParentsIncludingAnyChanges,1,1,non_numeric,,duration,100.00,"[""Since, 2014, the company director has a business relationship with Harbour Road Dental practice in Cheshire in which th…""]"
DescriptionRepurchaseAgreementsOtherSimilarSecuredBorrowing,1,1,non_numeric,,duration,100.00,"[""The company has given a security by way of debenture over its assets to Borchard Lines Limited, the parent entity.""]"
DescriptionRightsPreferencesRestrictionsAttachingToClassShareCapital,1,1,non_numeric,,duration,100.00,"[""Ordinary shares have the following rights, preferences and restrictions:Holders of the ordinary share capital have a ri…""]"
DirectorsAcknowledgeTheirResponsibilitiesUnderCompaniesAct,1,1,non_numeric,,duration,100.00,"[""The directors acknowledge their responsibilities for complying with the requirements of the Act with respect to account…""]"
DisposalsDecreaseInAmortisationImpairmentIntangibleAssets,1,1,numeric,GBP,duration,0.00,"[""0""]"
DisposalsIntangibleAssets,1,1,numeric,GBP,duration,0.00,"[""0""]"
EffectiveDateRevaluationPropertyPlantEquipment,1,1,non_numeric,,instant,100.00,"[""30 June 2018""]"
EntityDormant,1,1,non_numeric,,duration,100.00,"[""true""]"
EntityTrading,1,1,non_numeric,,duration,100.00,"[""false""]"
GeneralDescriptionLoansOwedToRelatedPartiesIncludingTermsGuaranteesGiven,1,1,non_numeric,,duration,100.00,"[""An amount of £1,157,144 of the loan detailed above has a repayment term of 10 years and is interest free. This has been…""]"
GeneralDescriptionLoansPayableInDefaultOrBreachIncludingNatureDefaultOrBreachAmountsInvolved,1,1,non_numeric,,duration,100.00,"[""On 24th June 2020, the company received a loan in the form of a bounce back loan. This had an interest rate of 2.5% beg…""]"
GeneralDescriptionUseCollateral,1,1,non_numeric,,duration,100.00,"[""Hire purchase creditors are secured over the assets to which they relate.Loans are secured over specific assets purchas…""]"
IncreaseDecreaseDueToTransfersBetweenClassesIntangibleAssets,1,1,numeric,GBP,duration,0.00,"[""0""]"
IncreaseDecreaseFromTotalImpairmentLossRecognisedOrReversedPropertyPlantEquipment,1,1,numeric,GBP,duration,0.00,"[""14,000""]"
IncreaseDecreaseInNetDebtFromCashFlows,1,1,numeric,GBP,duration,0.00,"[""235,429""]"
IncreaseDecreaseThroughOtherChangesPropertyPlantEquipment,1,1,numeric,GBP,duration,0.00,"[""150,000""]"
LesseeFinanceLeasePolicy,1,1,non_numeric,,duration,100.00,"[""Assets held under finance leases and hire purchase contracts are recognised in the statement of financial position as a…""]"
LesseeOperatingLeasePolicy,1,1,non_numeric,,duration,100.00,"[""Rentals paid under operating leases are charged to profit or loss on a straight line basis over the lease term.""]"
LoanCommitments,1,1,numeric,GBP,instant,0.00,"[""24,583""]"
MembersHaveNotRequiredCompanyToObtainAnAudit,1,1,non_numeric,,duration,100.00,"[""The members have not required the company to obtain an audit in accordance with section 476 of the Companies Act 2006.""]"
NameAccountantResponsible,1,1,non_numeric,,duration,100.00,"[""Ellis Lloyd Jones LLP""]"
NameAuthor,1,1,non_numeric,,duration,100.00,"[""""]"
NameDirectorSigningAccounts,1,1,non_numeric,,duration,100.00,"[""""]"
NumberSharesIssuedInPeriod-Gross,1,1,numeric,shares,duration,0.00,"[""1""]"
OtherDisposalsDecreaseInAmortisationImpairmentIntangibleAssets,1,1,numeric,GBP,duration,0.00,"[""140,000""]"
OtherDisposalsIntangibleAssets,1,1,numeric,GBP,duration,0.00,"[""140,000""]"
OtherDisposalsInvestmentPropertyFairValueModel,1,1,numeric,GBP,duration,0.00,"[""100""]"
OtherIncreaseDecreaseInAmortisationImpairmentIntangibleAssets,1,1,numeric,GBP,duration,0.00,"[""0""]"
OtherOperatingIncome,1,1,numeric,GBP,duration,0.00,"[""15,300""]"
PaymentsFinanceLeaseLiabilitiesClassifiedAsFinancingActivities,1,1,numeric,GBP,duration,0.00,"[""0""]"
ProceedsFromRepaymentLoansAdvancesToGroupUndertakingsClassifiedAsFinancingActivities,1,1,numeric,GBP,duration,0.00,"[""771,389""]"
ProvisionsCriticalEstimatesJudgements,1,1,non_numeric,,duration,100.00,"[""Provisions are recognised only where a present obligation exists as a result of a past transaction or event at or prior…""]"
RedeemableSharesClassifiedAsDebtInstrumentPolicy,1,1,non_numeric,,duration,100.00,"[""Debt instruments are subsequently carried at amortised cost, using the effective""]"
RentalIncomeFromSub-leases,1,1,numeric,GBP,duration,0.00,"[""21,000""]"
Share-basedPaymentsPolicy,1,1,non_numeric,,duration,100.00,"[""Equity-settled share-based payments are measured at fair value at the date of grant by reference to the fair value of t…""]"
StatementOnRespectiveResponsibilitiesDirectorsAuditors,1,1,non_numeric,,duration,100.00,"[""As explained more fully in the Directors' responsibilities statement set out on page 1, the directors are responsible f…""]"
StatementResponsibilitiesManagementThoseChargedWithCorporateGovernance,1,1,non_numeric,,duration,100.00,"[""As explained more fully in the directors' responsibilities statement, the directors are responsible for the preparation…""]"
TaxDecreaseFromTaxLossesForWhichNoDeferredTaxAssetWasRecognised,1,1,numeric,GBP,duration,0.00,"[""228,732""]"
TaxIncreaseDecreaseFromEffectCapitalAllowancesDepreciation,1,1,numeric,GBP,duration,0.00,"[""2,347""]"
TaxIncreaseDecreaseFromOtherTaxEffectsTaxReconciliation,1,1,numeric,GBP,duration,0.00,"[""6,972""]"
TotalIncreaseDecreaseFromRevaluationsIntangibleAssets,1,1,numeric,GBP,duration,0.00,"[""0""]"
UsefulLifeIntangibleAssetsYears,1,1,numeric,pure,duration,0.00,"[""10""]"
ValuationFinancialInstrumentsPolicy,1,1,non_numeric,,duration,100.00,"[""Stocks and work-in-progress are valued at the lower of cost and net realisable value, after making due allowance for ob…""]"
